"value","density","param","method"
-0.99,5.6437211530821e-82,"phi","True posterior"
-0.986032064128257,9.96499782839201e-82,"phi","True posterior"
-0.982064128256513,1.68807126600518e-81,"phi","True posterior"
-0.97809619238477,2.79050031962629e-81,"phi","True posterior"
-0.974128256513026,4.53945259841797e-81,"phi","True posterior"
-0.970160320641283,7.30185146732717e-81,"phi","True posterior"
-0.966192384769539,1.16484088364822e-80,"phi","True posterior"
-0.962224448897796,1.84657720463043e-80,"phi","True posterior"
-0.958256513026052,2.9129940163514e-80,"phi","True posterior"
-0.954288577154309,4.57743600146205e-80,"phi","True posterior"
-0.950320641282565,7.17042894644636e-80,"phi","True posterior"
-0.946352705410822,1.12037096806148e-79,"phi","True posterior"
-0.942384769539078,1.7469154590104e-79,"phi","True posterior"
-0.938416833667335,2.71916141737175e-79,"phi","True posterior"
-0.934448897795591,4.22650188014998e-79,"phi","True posterior"
-0.930480961923848,6.56171308014513e-79,"phi","True posterior"
-0.926513026052104,1.01773071152103e-78,"phi","True posterior"
-0.922545090180361,1.57726030979239e-78,"phi","True posterior"
-0.918577154308617,2.4428280090132e-78,"phi","True posterior"
-0.914609218436874,3.7814339985933e-78,"phi","True posterior"
-0.91064128256513,5.85115961825165e-78,"phi","True posterior"
-0.906673346693387,9.05087750453728e-78,"phi","True posterior"
-0.902705410821643,1.39971354730502e-77,"phi","True posterior"
-0.8987374749499,2.16431017268599e-77,"phi","True posterior"
-0.894769539078156,3.3462637689313e-77,"phi","True posterior"
-0.890801603206413,5.17352505530051e-77,"phi","True posterior"
-0.886833667334669,7.99873627444816e-77,"phi","True posterior"
-0.882865731462926,1.23675895286963e-76,"phi","True posterior"
-0.878897795591182,1.91247625554669e-76,"phi","True posterior"
-0.874929859719439,2.95781531463125e-76,"phi","True posterior"
-0.870961923847695,4.57535987942957e-76,"phi","True posterior"
-0.866993987975952,7.07901008041224e-76,"phi","True posterior"
-0.863026052104208,1.09553321734952e-75,"phi","True posterior"
-0.859058116232465,1.69588328291208e-75,"phi","True posterior"
-0.855090180360721,2.62599848924991e-75,"phi","True posterior"
-0.851122244488978,4.06753197542799e-75,"phi","True posterior"
-0.847154308617234,6.30252558502697e-75,"phi","True posterior"
-0.843186372745491,9.76908479175774e-75,"phi","True posterior"
-0.839218436873747,1.51480470182868e-74,"phi","True posterior"
-0.835250501002004,2.34979652047656e-74,"phi","True posterior"
-0.83128256513026,3.64654492541632e-74,"phi","True posterior"
-0.827314629258517,5.66131069837714e-74,"phi","True posterior"
-0.823346693386774,8.79311041189433e-74,"phi","True posterior"
-0.81937875751503,1.36635583061645e-73,"phi","True posterior"
-0.815410821643287,2.12415475322448e-73,"phi","True posterior"
-0.811442885771543,3.30380598533675e-73,"phi","True posterior"
-0.8074749498998,5.14107179077396e-73,"phi","True posterior"
-0.803507014028056,8.00401695548174e-73,"phi","True posterior"
-0.799539078156313,1.2467567780724e-72,"phi","True posterior"
-0.795571142284569,1.94302714913201e-72,"phi","True posterior"
-0.791603206412826,3.02972474658794e-72,"phi","True posterior"
-0.787635270541082,4.72670225331233e-72,"phi","True posterior"
-0.783667334669339,7.37815032760102e-72,"phi","True posterior"
-0.779699398797595,1.15232288630524e-71,"phi","True posterior"
-0.775731462925852,1.80070018557309e-71,"phi","True posterior"
-0.771763527054108,2.81547790024118e-71,"phi","True posterior"
-0.767795591182365,4.4046271631495e-71,"phi","True posterior"
-0.763827655310621,6.89469723959681e-71,"phi","True posterior"
-0.759859719438878,1.0798734151043e-70,"phi","True posterior"
-0.755891783567134,1.69232814260641e-70,"phi","True posterior"
-0.751923847695391,2.65370568128277e-70,"phi","True posterior"
-0.747955911823647,4.16370219145345e-70,"phi","True posterior"
-0.743987975951904,6.53683430964293e-70,"phi","True posterior"
-0.74002004008016,1.02687671955801e-69,"phi","True posterior"
-0.736052104208417,1.61411387747225e-69,"phi","True posterior"
-0.732084168336673,2.53873289118502e-69,"phi","True posterior"
-0.72811623246493,3.99547753161167e-69,"phi","True posterior"
-0.724148296593186,6.29203343738925e-69,"phi","True posterior"
-0.720180360721443,9.91484051642526e-69,"phi","True posterior"
-0.716212424849699,1.56334381255532e-68,"phi","True posterior"
-0.712244488977956,2.46660118119069e-68,"phi","True posterior"
-0.708276553106212,3.89422103876728e-68,"phi","True posterior"
-0.704308617234469,6.15206611199368e-68,"phi","True posterior"
-0.700340681362725,9.72526788426279e-68,"phi","True posterior"
-0.696372745490982,1.53838040234698e-67,"phi","True posterior"
-0.692404809619238,2.43505540409062e-67,"phi","True posterior"
-0.688436873747495,3.85689848302064e-67,"phi","True posterior"
-0.684468937875751,6.11298159372909e-67,"phi","True posterior"
-0.680501002004008,9.69515399932341e-67,"phi","True posterior"
