"methods","samples.p","samples.mu01","samples.mu02","samples.mu11","samples.mu12"
"SummaryRaw",0.457818226469757,0.652759983787849,0.938353915993072,-0.56156388299751,-0.199268209956463
"SummaryRaw",0.354617467767585,0.638859227709916,0.916036401724856,-0.97398677251398,-0.289143456385999
"SummaryRaw",0.354617467767585,0.638859227709916,0.916036401724856,-0.97398677251398,-0.289143456385999
"SummaryRaw",0.354617467767585,0.638859227709916,0.916036401724856,-0.97398677251398,-0.289143456385999
"SummaryRaw",0.354617467767585,0.638859227709916,0.916036401724856,-0.97398677251398,-0.289143456385999
"SummaryRaw",0.272812079217725,0.72624722759147,0.595140167427355,-0.496804187594939,-0.532095091308048
"SummaryRaw",0.272812079217725,0.72624722759147,0.595140167427355,-0.496804187594939,-0.532095091308048
"SummaryRaw",0.293964911668499,0.869737065655885,0.720728308556856,-0.329303378881113,-0.8705380509213
"SummaryRaw",0.283085640736826,0.767687552174962,0.795382050597521,-0.273024272589047,-0.285150238669457
"SummaryRaw",0.283085640736826,0.767687552174962,0.795382050597521,-0.273024272589047,-0.285150238669457
"SummaryRaw",0.283085640736826,0.767687552174962,0.795382050597521,-0.273024272589047,-0.285150238669457
"SummaryRaw",0.380617774934997,0.716680414379968,0.851946855070599,-0.0322071831350157,-0.350027785039105
"SummaryRaw",0.201304006653505,0.610008289241699,0.586137611044121,-0.838191969423641,-0.862324998035868
"SummaryRaw",0.335564991145975,0.782388856504414,0.646844684383211,-0.662068435723956,-0.293331087274475
"SummaryRaw",0.335564991145975,0.782388856504414,0.646844684383211,-0.662068435723956,-0.293331087274475
"SummaryRaw",0.376818678292339,0.744196556510787,0.67678019854862,-0.331297709139627,-0.739050186758068
"SummaryRaw",0.250660891384714,0.627133435927519,0.759840060813586,-0.543877129437526,-0.997661566363599
"SummaryRaw",0.35689575566077,0.623700127811055,0.789565704996075,-0.23201286138306,-0.535858337804641
"SummaryRaw",0.341660709301992,0.602059025201915,0.591500400603555,-0.386979524578199,-0.726384738167146
"SummaryRaw",0.282575773840546,0.679541982077715,0.742797700252229,-0.842012939774939,-0.858005057454788
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.209203906045616,0.573554137538378,0.796170089737404,-0.523768641737073,-0.909221668049356
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.396935023136777,0.891830844714746,0.76771616549971,-0.506998303554969,-0.650951551193413
"SummaryRaw",0.383282135039746,0.748333071935051,0.820673180186235,-0.634090345196004,-0.811389506812232
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.375185689631888,0.722221325916361,0.897376710505117,-0.172741803859551,-0.786796389518102
"SummaryRaw",0.271446028752924,0.61954513527615,0.734039413901402,-0.510931169087789,-0.951651357775324
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.247837949592577,0.500487796659869,0.733716267238841,-0.311782725368082,-0.691391187424663
"SummaryRaw",0.178106906732049,0.457986348495815,0.685483160067286,-0.5253698574391,-0.968978098970645
"SummaryRaw",0.367745585230748,0.729002720269022,0.903493307355527,-0.338851967257098,-0.733601965052849
"SummaryRaw",0.31969634153045,0.666983166357381,0.820666571807296,-0.215154607847129,-0.461771277050431
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.297359351871782,0.685083948328197,0.772641746878687,-0.0817882850812738,-0.730197321429333
"SummaryRaw",0.241426516169376,0.538874513825241,0.531829964722461,-0.594959102226732,-0.880215275071794
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.235685169090302,0.694980217213537,0.858939106226974,-0.631544252057869,-0.830135042935502
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.273792641548502,0.624270508213282,0.865367346252008,-0.356442711242924,-0.852211937994415
"SummaryRaw",0.248221138456417,0.662605321043992,0.606714575376866,-0.661395602397328,-0.963060368863168
"SummaryRaw",0.291490577594476,0.798442982086797,0.550894856276756,-0.473214194225489,-0.982937021165186
"SummaryRaw",0.182949928496303,0.651584797772799,0.640434072410155,-0.641456138768786,-0.853125062323327
"SummaryRaw",0.212434028807966,0.701687289258053,0.634034249947902,-0.476844299573965,-0.978814606176454
"SummaryRaw",0.623571451813178,-0.893324316132331,-0.525294928004695,0.747217908275635,0.818371602307709
"SummaryRaw",0.64283271398769,-0.808366969755524,-0.434023286323837,0.774327296809057,0.764727321236183
"SummaryRaw",0.804568901532389,-0.951449502105059,-0.995823087377825,0.537016785000894,0.663229709452965
"SummaryRaw",0.766488712917727,-0.732759422446829,-0.648712473972842,0.730812425753115,0.787513574335977
"SummaryRaw",0.714247455333372,-0.708382821383117,-0.868428585038902,0.743877892805186,0.576030612636054
"SummaryRaw",0.7524132587704,-0.750332910790546,-0.937749669638585,0.584541476857486,0.643847114723018
"SummaryRaw",0.691949414631626,-0.689617351330944,-0.682154659294236,0.745154374526798,0.686838884839287
"SummaryRaw",0.328192331753102,0.782887300168923,0.929340008169934,-0.200516417217223,-0.594931338086193
"SummaryRaw",0.381353359146236,0.817922578295396,0.776819862901721,-0.339690749791305,-0.0702746309012185
"SummaryRaw",0.422917241166301,0.896159320561059,0.85328407729581,0.0225801043984087,-0.473328627941273
"SummaryRaw",0.497171843529068,0.988321598574655,0.734615391431021,-0.505568066650039,-0.261449922700738
"SummaryRaw",0.457138571485538,0.850330417912528,0.981707783520768,-0.291512441251531,-0.00714754856767988
"SummaryRaw",0.434433228404535,0.954453816141283,0.861647876792632,-0.457089454965918,-0.176275963797452
"SummaryRaw",0.411426934385797,0.805976015571025,0.973791547533746,-0.56229553199179,-0.1015910282872
"SummaryRaw",0.411426934385797,0.805976015571025,0.973791547533746,-0.56229553199179,-0.1015910282872
"SummaryRaw",0.411426934385797,0.805976015571025,0.973791547533746,-0.56229553199179,-0.1015910282872
"SummaryRaw",0.411426934385797,0.805976015571025,0.973791547533746,-0.56229553199179,-0.1015910282872
"SummaryRaw",0.310027894887692,0.658708164207609,0.703401408735748,-0.724571666736976,-0.495930856254613
"SummaryRaw",0.310027894887692,0.658708164207609,0.703401408735748,-0.724571666736976,-0.495930856254613
"SummaryRaw",0.565852435823559,-0.391712861680886,-0.308796284775244,0.772817959181737,0.842829865828101
"SummaryRaw",0.312183185447831,0.516267688032034,0.859671747850793,-0.938505643509139,-0.76539599483348
"SummaryRaw",0.312183185447831,0.516267688032034,0.859671747850793,-0.938505643509139,-0.76539599483348
"SummaryRaw",0.231636368720337,0.461917983365425,0.729810009252136,-0.925229419558289,-0.596855839169661
"SummaryRaw",0.399762279689311,0.627490464154393,0.95924808928292,-0.594307754586222,-0.650574431521978
"SummaryRaw",0.312183185447831,0.516267688032034,0.859671747850793,-0.938505643509139,-0.76539599483348
"SummaryRaw",0.273048396561614,0.6323752778784,0.742339669359357,-0.498471683266214,-0.482264079348429
"SummaryRaw",0.256231975207119,0.687652726946682,0.831526663016681,-0.504543865779175,-0.235561757490833
"SummaryRaw",0.479128392475283,0.885526969782918,0.927655153707504,-0.418727613344185,-0.169746864373759
"SummaryRaw",0.427769654800836,0.949188575839017,0.841587136528048,-0.4444781416883,-0.346627416626659
"SummaryRaw",0.427769654800836,0.949188575839017,0.841587136528048,-0.4444781416883,-0.346627416626659
"SummaryRaw",0.277826165161827,0.590832560085088,0.713060576091174,-0.369629217937546,-0.634476880275038
"SummaryRaw",0.285791240215659,0.762659020558895,0.71862844779265,-0.661240353818661,-0.654705066115645
"SummaryRaw",0.264508133051869,0.521876506082635,0.671564543897553,-0.370404805191958,-0.734508255168863
