"methods","samples.logP","samples.logN0","samples.log_sigma_d","samples.log_sigma_p","samples.log_tau","samples.log_delta"
"Curve matching",3.42987886499416,5.27203908917542,-1.87068581301107,-0.305505831450303,1.82100484245425,-1.34156619585583
"Curve matching",3.42987886499416,5.27203908917542,-1.87068581301107,-0.305505831450303,1.82100484245425,-1.34156619585583
"Curve matching",3.42987886499416,5.27203908917542,-1.87068581301107,-0.305505831450303,1.82100484245425,-1.34156619585583
"Curve matching",2.84736929501534,5.55289340083224,-2.77665036328575,-0.943578374861556,1.98292378370202,-1.13223752531396
"Curve matching",2.40281753693707,6.19804528088852,-2.44932631602743,-0.41247842193925,2.11046289828264,-0.817154385423823
"Curve matching",2.97756470207702,5.76189957125538,-2.67353931808376,-1.0047284188621,1.97019773256882,-1.12982462140438
"Curve matching",2.97756470207702,5.76189957125538,-2.67353931808376,-1.0047284188621,1.97019773256882,-1.12982462140438
"Curve matching",2.97756470207702,5.76189957125538,-2.67353931808376,-1.0047284188621,1.97019773256882,-1.12982462140438
"Curve matching",3.36994172561809,5.51135341676293,-2.14081805668646,-1.89784214799168,1.97163139673392,-0.992879206549067
"Curve matching",2.97756470207702,5.76189957125538,-2.67353931808376,-1.0047284188621,1.97019773256882,-1.12982462140438
"Curve matching",2.97756470207702,5.76189957125538,-2.67353931808376,-1.0047284188621,1.97019773256882,-1.12982462140438
"Curve matching",2.59776568147842,6.02554429286938,-0.773709109640887,-2.41929264181582,2.08257981457869,-0.967553195635359
"Curve matching",2.78125643992498,5.70945187997565,-1.91454698770608,-2.60019124339105,1.94475998835579,-1.15793759170023
"Curve matching",2.3283640841408,6.00016666004623,-1.86371295355811,-1.72499376504135,1.96036610182245,-1.34269856169278
"Curve matching",2.50714609013171,5.87304219416059,-1.6094159637615,-2.42278946504996,1.91625363317667,-1.30899337695719
"Curve matching",3.20859750106319,5.56492353173152,-0.38192175945886,-1.41471265386619,1.96359267775103,-1.05241509774918
"Curve matching",3.03481019803777,5.71302226378413,-0.752641130810241,-1.97603586947657,1.90808941499259,-1.12756487620655
"Curve matching",3.03481019803777,5.71302226378413,-0.752641130810241,-1.97603586947657,1.90808941499259,-1.12756487620655
"Curve matching",3.03481019803777,5.71302226378413,-0.752641130810241,-1.97603586947657,1.90808941499259,-1.12756487620655
"Curve matching",3.03481019803777,5.71302226378413,-0.752641130810241,-1.97603586947657,1.90808941499259,-1.12756487620655
"Curve matching",3.20741294456721,5.3417184902855,-2.558987194487,-2.96209791525974,2.00539046865641,-1.12279413333474
"Curve matching",3.20741294456721,5.3417184902855,-2.558987194487,-2.96209791525974,2.00539046865641,-1.12279413333474
"Curve matching",3.0586001292353,5.65872963851363,-2.97976924273446,-1.76453469103787,2.0606555460509,-0.800922222674678
"Curve matching",3.20741294456721,5.3417184902855,-2.558987194487,-2.96209791525974,2.00539046865641,-1.12279413333474
"Curve matching",2.61676155440152,5.80843558558442,-1.3325064517587,-2.65926239378581,1.97945068636009,-1.31537048231221
"Curve matching",3.48524761610174,5.30290109822046,-2.03382285695998,-2.55362585035725,1.95856511546295,-1.00944119687503
"Curve matching",4.13429839609485,5.09867431069306,-2.96506335959863,-1.69840214636975,1.76039879452146,-1.19425505487274
"Curve matching",3.1292431846202,5.38914000910743,-2.87121326951368,-2.67375451159304,2.00708479117685,-1.15147979029049
"Curve matching",2.90759158857694,5.46330073049219,-2.63311154129406,-2.20886507773726,1.98183433181836,-1.13752503380378
"Curve matching",2.76496062278344,5.56286454580089,-2.17051935411911,-0.967537336399668,1.91746025007097,-1.20455619081611
"Curve matching",4.0617248672416,5.10189484714231,-1.95240244340198,-1.13464040587219,1.83313167404584,-1.26139246366417
"Curve matching",3.56609795181834,5.46762582055978,-1.80153717464066,-2.25451575838347,1.84045282953804,-1.37145488560923
"Curve matching",3.72357236044137,5.22494936423854,-2.23690466658523,-2.17722918170612,1.8492002181314,-1.28679394943979
"Curve matching",2.99848403932064,5.45871134687129,-0.937754552195065,-1.25163214797434,1.90933305335983,-1.17014761052502
"Curve matching",2.83813210679495,5.71846785258501,-1.55145486169982,-2.12708363658095,2.0647718551981,-0.802209497297193
"Curve matching",3.20741294456721,5.3417184902855,-2.558987194487,-2.96209791525974,2.00539046865641,-1.12279413333474
"Curve matching",3.20741294456721,5.3417184902855,-2.558987194487,-2.96209791525974,2.00539046865641,-1.12279413333474
"Curve matching",3.53440977212862,5.06148802940607,-2.21549458255183,-2.63306766608072,1.95515688700701,-0.997359129678157
"Curve matching",3.60324751280302,5.04850160314427,-2.35460438468379,-3.14050291870411,1.96204176204439,-1.00221996039353
"Curve matching",3.20741294456721,5.3417184902855,-2.558987194487,-2.96209791525974,2.00539046865641,-1.12279413333474
"Curve matching",2.7949161637031,5.67962466097472,-1.77254104674176,-2.19886264738843,1.96134643452038,-1.24537188624628
"Curve matching",3.16291881773179,5.58003655338286,-0.834506595154321,-2.07313399343128,1.72192055897327,-1.3973926863717
"Curve matching",3.57024173628623,5.22269465342149,-1.10719813248596,-3.0108231862653,1.70790953088045,-1.43036756709131
"Curve matching",3.15397592565042,5.41256388238343,-1.85408090758974,-2.28737228543108,1.88242258764355,-1.13509920163312
"Curve matching",3.16291881773179,5.58003655338286,-0.834506595154321,-2.07313399343128,1.72192055897327,-1.3973926863717
"Curve matching",3.60322564324056,5.27885013031122,-1.8451737881322,-2.38110118980057,1.72810018982546,-1.36775046431231
"Curve matching",3.23285742015353,5.38161470826577,-1.34179264168003,-0.598906249222399,1.90087357587384,-1.01367511907872
"Curve matching",3.23285742015353,5.38161470826577,-1.34179264168003,-0.598906249222399,1.90087357587384,-1.01367511907872
"Curve matching",2.73378460143597,5.75360854599294,-2.18894099431762,-2.18310621957996,1.87690384370233,-1.22430772543042
"Curve matching",2.73378460143597,5.75360854599294,-2.18894099431762,-2.18310621957996,1.87690384370233,-1.22430772543042
"Curve matching",3.16443668940844,5.491270432733,-2.72697889449439,-2.4159766043257,2.06586864148107,-0.757291101046326
"Curve matching",3.13055226149892,5.53780448621975,-2.24321369357998,-2.13173653184608,2.06371966279039,-0.817721538004644
"Curve matching",2.62518203550547,6.10158645522867,-1.56338070909947,-1.94537707508135,2.12099208295076,-0.847169783705285
"Curve matching",2.94324030772242,5.57873637767389,-2.15683846056428,-3.57726550295736,1.98214768136703,-1.13403240639172
"Curve matching",3.40224108126841,5.24920231799303,-1.86330502731192,-3.54800497504695,1.95200368692957,-1.0397631092909
"Curve matching",3.31493456251117,5.33816787238338,-2.04744899828274,-3.09574609347725,1.9342748233508,-1.00107308066507
"Curve matching",3.03646399045753,5.67300422144103,-2.16382440527317,-2.34496449750067,2.07550087639798,-0.792714889344677
"Curve matching",2.60511044639363,5.98014928544906,-3.49806592270336,-1.58811374758194,2.08980156827112,-0.841708826451851
"Curve matching",2.71569189122239,5.69795576857491,-1.38651232652148,-1.27930540889823,1.88634073500814,-1.14473058299258
"Curve matching",2.83031411929735,5.68594158730886,-2.62330992971079,-2.54699494751133,2.01733800227512,-0.875539498680765
"Curve matching",2.54097261412549,5.8982823633795,-2.2677654920809,-1.58728334409844,2.06615701758868,-0.875103131515871
"Curve matching",3.10785313580736,5.65447718262147,-2.23009299456344,-2.76943801887334,2.0298741734819,-0.739981683266536
"Curve matching",3.37631853411092,5.29524597799864,-2.36927917851436,-2.05006074021206,2.02401564563978,-0.76734762465806
"Curve matching",2.99206849013529,5.63812548215789,-1.55824613493721,-2.20174154583324,1.92845721487763,-1.1898845804384
"Curve matching",2.99206849013529,5.63812548215789,-1.55824613493721,-2.20174154583324,1.92845721487763,-1.1898845804384
"Curve matching",3.33301306018248,5.45538418050209,-1.42279284683803,-2.09836880150041,1.93571570501928,-1.03898398325753
"Curve matching",2.83031411929735,5.68594158730886,-2.62330992971079,-2.54699494751133,2.01733800227512,-0.875539498680765
"Curve matching",2.83031411929735,5.68594158730886,-2.62330992971079,-2.54699494751133,2.01733800227512,-0.875539498680765
"Curve matching",2.83031411929735,5.68594158730886,-2.62330992971079,-2.54699494751133,2.01733800227512,-0.875539498680765
"Curve matching",3.28295504593623,5.50595224081526,-2.58213541567654,-1.8419206372923,1.92177746866391,-1.07815605046611
"Curve matching",2.83031411929735,5.68594158730886,-2.62330992971079,-2.54699494751133,2.01733800227512,-0.875539498680765
"Curve matching",2.83031411929735,5.68594158730886,-2.62330992971079,-2.54699494751133,2.01733800227512,-0.875539498680765
