"methods","samples.logP","samples.logN0","samples.log_sigma_d","samples.log_sigma_p","samples.log_tau","samples.log_delta"
"MMD",3.10575057586715,5.75753376605339,-0.963975313396123,-1.30236317691022,1.5718757583876,-0.949891668174473
"MMD",3.18461618483612,5.83193019839756,-0.692258553970947,-1.53449096289036,1.47011516646558,-0.672459136351136
"MMD",3.13426689541195,5.77327523902564,-0.555036562620845,-0.978051778379499,1.62523080433506,-0.798414840571171
"MMD",3.11849091080188,5.90409493413413,-0.99337589690615,-0.85292198361188,1.53653168241075,-0.714971074990474
"MMD",3.18461618483612,5.83193019839756,-0.692258553970947,-1.53449096289036,1.47011516646558,-0.672459136351136
"MMD",3.08351268703021,5.80930013806344,-0.235926519085507,-1.74224349426123,1.65103100496087,-0.681325285425086
"MMD",3.13293233571556,5.77105502708247,-0.465646371615607,-1.26680479329909,1.60632283365551,-0.721828883698669
"MMD",3.13293233571556,5.77105502708247,-0.465646371615607,-1.26680479329909,1.60632283365551,-0.721828883698669
"MMD",3.26658233319257,5.48990358903791,1.07820472238515,-1.07259736345098,1.63686860758397,-1.0654553257207
"MMD",3.57833344990898,5.39142754294516,0.307091760956679,-0.713468328854212,1.49484559914351,-0.877201512518168
"MMD",3.56383085184007,5.36931355352471,-0.684846046985675,-1.48241415294016,1.60602534578618,-1.03605513638458
"MMD",2.99113225640303,5.67522962071636,-0.344265955757044,-1.31959222886024,1.84432672066906,-1.05840419544627
"MMD",3.56383085184007,5.36931355352471,-0.684846046985675,-1.48241415294016,1.60602534578618,-1.03605513638458
"MMD",3.37628409397697,5.69386348767204,-0.177576753414896,-1.64200334098109,1.44691322612025,-0.736256543130286
"MMD",3.56383085184007,5.36931355352471,-0.684846046985675,-1.48241415294016,1.60602534578618,-1.03605513638458
"MMD",3.26728096522832,5.38504361280748,-1.73645535345472,-1.20219865578994,2.06827979276629,-1.63833097906863
"MMD",3.56383085184007,5.36931355352471,-0.684846046985675,-1.48241415294016,1.60602534578618,-1.03605513638458
"MMD",3.56383085184007,5.36931355352471,-0.684846046985675,-1.48241415294016,1.60602534578618,-1.03605513638458
"MMD",3.45416678371199,5.33906968534628,-0.548835124220905,-1.79429715891534,1.735223219809,-1.62890232631318
"MMD",3.45416678371199,5.33906968534628,-0.548835124220905,-1.79429715891534,1.735223219809,-1.62890232631318
"MMD",3.45416678371199,5.33906968534628,-0.548835124220905,-1.79429715891534,1.735223219809,-1.62890232631318
"MMD",3.45416678371199,5.33906968534628,-0.548835124220905,-1.79429715891534,1.735223219809,-1.62890232631318
"MMD",3.45416678371199,5.33906968534628,-0.548835124220905,-1.79429715891534,1.735223219809,-1.62890232631318
"MMD",3.33959030299849,5.65050902782432,-1.20102597199851,-1.92980102746031,1.53973096310013,-0.829973188564941
"MMD",3.33959030299849,5.65050902782432,-1.20102597199851,-1.92980102746031,1.53973096310013,-0.829973188564941
"MMD",2.6426323649909,5.94612238096305,-0.380468536803056,-1.06964211512979,2.00371388624732,-1.16837116086529
"MMD",2.83569953455254,5.81213526756743,-1.20988528463851,-1.26930150145659,1.9814174398906,-1.14332694468524
"MMD",2.80682940577485,5.88059513858283,-1.00897849063979,-1.27848194368961,1.87869425172704,-1.24325991152655
"MMD",2.54019004822099,5.87945857952814,-0.805185646823179,-0.872023505210033,2.23324078517596,-1.41490372476258
"MMD",2.54019004822099,5.87945857952814,-0.805185646823179,-0.872023505210033,2.23324078517596,-1.41490372476258
"MMD",3.31037419294676,5.86303532386654,0.291765684403614,-0.647469786455233,1.00739599823024,-0.45884282134576
"MMD",3.34912194657859,5.80958904119281,0.145379362900599,-0.894704100800947,1.0308570903524,-0.492525609671017
"MMD",3.59224883333913,5.66029730003912,0.283454423852744,-0.555364295002525,0.943086914879554,-0.460445151412241
"MMD",3.40701413069311,5.83134234248463,-0.650868189920151,-1.62221179508438,1.21813211798811,-0.257360378035385
"MMD",3.40701413069311,5.83134234248463,-0.650868189920151,-1.62221179508438,1.21813211798811,-0.257360378035385
"MMD",3.14560080379024,6.04540581347424,-0.0583979304789379,-1.64891464977479,1.28639733989494,-0.108525296960849
"MMD",3.14560080379024,6.04540581347424,-0.0583979304789379,-1.64891464977479,1.28639733989494,-0.108525296960849
"MMD",3.21881049441442,5.8541940168738,-0.512668022930812,-1.22761627196475,1.37224988443518,-0.496447365570677
"MMD",2.99464922185669,5.88169296420854,0.401437824491511,-1.0382031689048,1.50747605765448,-0.545207096136546
"MMD",3.04068802281722,5.91649700530655,-0.47287283269638,-1.43775856401451,1.60095572987774,-0.493408083470217
"MMD",3.21415799928333,5.68006557313601,-1.46206748524504,-2.07618429194735,1.52068709905645,-0.90245647545532
"MMD",3.21415799928333,5.68006557313601,-1.46206748524504,-2.07618429194735,1.52068709905645,-0.90245647545532
"MMD",3.04658634036066,5.82159308733497,-1.6492131492645,-1.88137432556451,1.51576883746249,-0.904442653936923
"MMD",2.93118643500243,5.99664398724554,-0.505180256166256,-1.73843022327558,1.41324045331163,-0.62199788642209
"MMD",3.02234651458538,5.67328067555056,-0.895394824185522,-1.2746089232156,1.74697494376939,-1.19836670295554
"MMD",3.33399083571042,5.85059631956302,-1.04432840991405,-1.69421984313237,1.37831829960352,-0.483683112118609
"MMD",3.23538385567238,5.88112383522961,-1.48206361923803,-1.50087393410922,1.29779120862574,-0.572449567679296
"MMD",3.67919529639293,5.51250450002805,-0.999039300504931,-2.39797821644676,1.30979925169496,-0.898471822426311
"MMD",3.18702630537338,5.68207105451379,-1.08447086454216,-1.63953392897155,1.58712101534964,-1.01092054191548
"MMD",2.95815897104942,5.82547128394987,-1.3325041351697,-1.45023266065521,1.82201573017013,-0.978179886080377
"MMD",3.24898405752673,5.57855364398856,-0.351470151901634,-1.80117204861424,1.76110259340971,-1.1754590131779
"MMD",3.18687685194838,5.7033118888053,-0.308987177717842,-1.32753185142668,1.60861889407329,-0.997033780289659
"MMD",3.18687685194838,5.7033118888053,-0.308987177717842,-1.32753185142668,1.60861889407329,-0.997033780289659
"MMD",3.19918605598155,5.71911033625276,0.101921679864241,-1.3621044615576,1.58652156183243,-0.799459242077371
"MMD",3.0785334622156,5.90337472257986,-0.128946218584394,-0.833378959314365,1.43247690058154,-0.648918225587628
"MMD",3.18687685194838,5.7033118888053,-0.308987177717842,-1.32753185142668,1.60861889407329,-0.997033780289659
"MMD",3.16241820360712,5.74702001624992,-0.921227030667861,-1.33422609472335,1.51114509356631,-1.01080909124618
"MMD",3.16241820360712,5.74702001624992,-0.921227030667861,-1.33422609472335,1.51114509356631,-1.01080909124618
"MMD",2.82777478505597,5.79777033639738,-1.03127175025999,-1.03719146133259,1.78413538102794,-1.1995837264152
"MMD",3.11474113437707,5.92763185775525,-0.918207339606884,-1.72924194526453,1.49839608883068,-0.536663425870012
"MMD",2.59763304553876,5.87248223162846,-2.04135789285189,-0.544815173123147,2.03276961220048,-1.52034764039071
"MMD",3.16241820360712,5.74702001624992,-0.921227030667861,-1.33422609472335,1.51114509356631,-1.01080909124618
"MMD",3.16241820360712,5.74702001624992,-0.921227030667861,-1.33422609472335,1.51114509356631,-1.01080909124618
"MMD",3.16241820360712,5.74702001624992,-0.921227030667861,-1.33422609472335,1.51114509356631,-1.01080909124618
"MMD",3.16241820360712,5.74702001624992,-0.921227030667861,-1.33422609472335,1.51114509356631,-1.01080909124618
"MMD",3.16241820360712,5.74702001624992,-0.921227030667861,-1.33422609472335,1.51114509356631,-1.01080909124618
"MMD",3.35577616131306,5.65507660199825,-0.539557971478031,-1.27085202191788,1.69115546650196,-0.975857634802776
"MMD",3.19127995197364,5.71695651761056,-0.03236488738369,-1.25428963441802,1.61410372124644,-0.875166396743608
"MMD",2.97177371328531,5.77292448313461,-0.941848731721909,-1.43245622750997,1.83046182386326,-1.12498661404476
"MMD",3.12482683742336,5.82644858523202,-0.937747747621215,-1.23758244621371,1.57831640106667,-0.785683669467975
"MMD",3.2979683716506,5.81153948959721,-0.654375407138226,-1.34177072071295,1.48192888858772,-0.536572925646262
"MMD",3.3116950153693,5.76792640301184,-0.911274293435616,-1.37277802026413,1.49855094385309,-0.710807628979411
"MMD",3.3116950153693,5.76792640301184,-0.911274293435616,-1.37277802026413,1.49855094385309,-0.710807628979411
"MMD",3.3116950153693,5.76792640301184,-0.911274293435616,-1.37277802026413,1.49855094385309,-0.710807628979411
"MMD",3.3116950153693,5.76792640301184,-0.911274293435616,-1.37277802026413,1.49855094385309,-0.710807628979411
"MMD",2.78653143188593,6.02830791493006,-1.45565217901589,-0.413737622029474,1.8118591496324,-0.852241878755886
"MMD",3.25006754481612,5.7462476085,-2.0344971216277,-1.32090654283498,1.3188748888887,-0.768179467098177
"MMD",2.95965215018155,5.90305525005608,-1.61418222103905,-1.08636246075006,1.62471763607623,-0.920747090579974
"MMD",3.74185972920551,5.39183910120168,-1.63019089478197,-2.59147700812458,1.50534992840219,-1.29012083724934
"MMD",3.74185972920551,5.39183910120168,-1.63019089478197,-2.59147700812458,1.50534992840219,-1.29012083724934
"MMD",3.74185972920551,5.39183910120168,-1.63019089478197,-2.59147700812458,1.50534992840219,-1.29012083724934
"MMD",3.00563980573191,6.0378753644136,-0.417610556681773,-0.913420142894825,1.45417611095282,-0.39418700998069
"MMD",3.28371733532054,5.76772991323863,-0.444331445590819,-1.08639434295656,1.38767199813335,-0.64919565441317
"MMD",3.28504387242074,5.66264920401132,-0.38777620732926,-1.1542686657548,1.51724594693741,-0.9208845206951
"MMD",2.72958293071177,5.77293947026646,-0.699301217732535,-1.15738936650607,2.04664714607929,-1.33238728560643
"MMD",3.28504387242074,5.66264920401132,-0.38777620732926,-1.1542686657548,1.51724594693741,-0.9208845206951
"MMD",2.73453035847514,6.14580734204131,0.0710927060197015,-1.28218528012061,1.94910716969283,-0.550025782539638
"MMD",2.9299944479888,5.76214266280253,-0.303821020837912,-1.24070214537753,1.98399309652859,-1.06057405652419
