"methods","samples.logP","samples.logN0","samples.log_sigma_d","samples.log_sigma_p","samples.log_tau","samples.log_delta"
"Delay reconstruction",2.86236967032986,5.79067762223101,-0.213250976685428,-0.607845062689367,1.87088622596478,-1.28581613116007
"Delay reconstruction",2.86236967032986,5.79067762223101,-0.213250976685428,-0.607845062689367,1.87088622596478,-1.28581613116007
"Delay reconstruction",2.53063029387489,5.99841181659625,-0.00242724781327952,-0.315386004498908,1.97522707848734,-1.05360581801957
"Delay reconstruction",2.86236967032986,5.79067762223101,-0.213250976685428,-0.607845062689367,1.87088622596478,-1.28581613116007
"Delay reconstruction",2.81300558868851,5.89443510375169,-1.70325653682767,-0.32434551424926,1.8689826749916,-1.35663693515536
"Delay reconstruction",2.92064651015357,5.73285152849314,-1.14213904228906,-0.226277917089693,1.76931193618308,-1.36352272110502
"Delay reconstruction",2.554334309008,6.01314150136784,-0.814966000303252,-0.58282928707781,1.88911051975387,-1.02965505911364
"Delay reconstruction",2.554334309008,6.01314150136784,-0.814966000303252,-0.58282928707781,1.88911051975387,-1.02965505911364
"Delay reconstruction",2.554334309008,6.01314150136784,-0.814966000303252,-0.58282928707781,1.88911051975387,-1.02965505911364
"Delay reconstruction",2.554334309008,6.01314150136784,-0.814966000303252,-0.58282928707781,1.88911051975387,-1.02965505911364
"Delay reconstruction",3.02657545820636,5.59722463322692,-1.0324604943902,-1.37603710369858,1.96820194738162,-1.3335534011204
"Delay reconstruction",2.89059769452188,5.81335808400694,-1.60185925408401,-1.43211073804427,1.9796474308986,-0.855506752150393
"Delay reconstruction",3.12203840735338,5.55279637733034,-1.77526576613179,-1.2833958995743,1.99218705711703,-0.903766137622724
"Delay reconstruction",2.75714994470367,5.95815308801503,-1.42911986774588,-1.0065678746149,1.87282603369635,-1.07647151120919
"Delay reconstruction",2.89059769452188,5.81335808400694,-1.60185925408401,-1.43211073804427,1.9796474308986,-0.855506752150393
"Delay reconstruction",2.8469995942015,5.87846114617508,-0.489326489098318,-1.01050112796659,2.01420312485084,-0.885806602543616
"Delay reconstruction",2.8469995942015,5.87846114617508,-0.489326489098318,-1.01050112796659,2.01420312485084,-0.885806602543616
"Delay reconstruction",3.10482935082233,5.64322419927282,-1.38285371584534,-1.82617964603586,1.82103301850268,-1.06150247912967
"Delay reconstruction",2.85706925677427,5.80260138628948,-0.989978704418405,-1.29635658747385,1.85604729626517,-0.959176034419965
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",2.7228589120456,5.892486347809,0.439322775080941,-1.10044879524821,1.88015556694344,-0.90563764591272
"Delay reconstruction",2.76503853887051,5.88181714293757,-0.422717086240851,-1.56234431883999,1.86624313143943,-1.10317166790528
"Delay reconstruction",2.93979434549639,5.67889711272905,-0.70604387198707,-1.11439662599172,1.93285828154086,-1.2744972851728
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.16759621220069,5.64640730190052,-1.05267292140426,-1.41926402053581,1.77525787544498,-1.30502046387943
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",3.21852941946701,5.5304089592395,-0.367451121250373,-1.80232305054501,1.74305704013528,-1.07259654709886
"Delay reconstruction",2.90055220086404,5.8588208339193,-2.48751711205149,-0.0869778010011632,1.86054374837257,-1.33121394728861
"Delay reconstruction",2.71779937172829,5.9580696268097,-1.35692780746485,-0.193534874255114,1.80930599077729,-1.36786928301296
"Delay reconstruction",2.71779937172829,5.9580696268097,-1.35692780746485,-0.193534874255114,1.80930599077729,-1.36786928301296
"Delay reconstruction",2.71779937172829,5.9580696268097,-1.35692780746485,-0.193534874255114,1.80930599077729,-1.36786928301296
"Delay reconstruction",2.78418052447619,5.95220644963745,-2.88704073553659,-0.370353593053378,1.96378927917296,-1.44629683055528
"Delay reconstruction",2.52842564022477,5.99044116295236,-0.784632996440085,-0.588254751193841,2.06031493219608,-1.34883425018394
"Delay reconstruction",2.93551607043507,5.65047850646139,-0.570403328366609,-1.35549739011162,1.91014069979144,-1.43161128456438
"Delay reconstruction",2.46013406050285,6.00847251631708,-0.0158406255678433,-0.433295781173568,1.79325722974578,-1.16135668922669
"Delay reconstruction",2.27449631202867,6.23166988253359,-1.07358663950172,-0.885687924946277,1.97889110479085,-1.0899024078828
"Delay reconstruction",2.23798108661073,6.38999924051825,-1.74271332297534,-0.869023447469129,2.23723651610376,-0.882571350158121
"Delay reconstruction",2.48791969005355,6.14548487120969,-0.842058483868642,-1.49165213841032,2.23488796467488,-0.899689441386829
"Delay reconstruction",2.26616026765142,6.35242485660176,-0.780423186271863,-0.13605473481999,2.08412569001255,-0.788228091203345
"Delay reconstruction",2.48819808419287,5.97373494357132,0.158561618476495,-0.796299567270427,2.02650912067666,-1.19827752008704
"Delay reconstruction",2.97679791887951,5.7508108683967,-0.616512268359547,-1.25151443077448,2.02490364347444,-0.793040217771416
"Delay reconstruction",2.94199380160901,5.78729935182975,-1.20240977361045,-1.20596218539042,2.05301404494468,-0.809604727913606
"Delay reconstruction",2.26593227406838,6.2885149642898,-1.45636859701136,-0.748426484408456,2.1084678915488,-0.939848840851602
"Delay reconstruction",2.73380105734243,5.95784593840954,-1.40579233749162,-0.650942956127805,2.00144167519959,-0.958876780903384
"Delay reconstruction",2.74292408286976,5.83047246615136,1.13887556199449,-1.83750282814499,1.26346894273267,-0.955704499363679
"Delay reconstruction",2.87193651375807,5.61196740962822,1.06653900949359,-1.8138116387448,1.25906238942191,-0.972644454348037
"Delay reconstruction",3.48353283104132,5.28541433985516,1.07295094876103,-1.41485891640203,1.50309132268061,-1.08957971245986
"Delay reconstruction",3.15677438611492,5.61143819561351,-0.496122627778767,-0.380738335785372,1.86702991444046,-1.12153375423581
"Delay reconstruction",3.15677438611492,5.61143819561351,-0.496122627778767,-0.380738335785372,1.86702991444046,-1.12153375423581
"Delay reconstruction",3.15677438611492,5.61143819561351,-0.496122627778767,-0.380738335785372,1.86702991444046,-1.12153375423581
"Delay reconstruction",2.98831259795014,5.66389828316533,-1.20437198350056,-0.379525304897442,1.93304202914414,-1.16739667623094
"Delay reconstruction",3.08276320141952,5.50510339742953,-0.35355629597019,-1.14333430142116,1.90492723281436,-1.22735387182322
"Delay reconstruction",3.40151074719348,5.47025556359293,-0.435629317867204,-0.573493781049171,1.83747388781712,-1.40739116288577
"Delay reconstruction",2.36790849195832,6.13633233628486,-0.0130509104360117,-0.186194935439549,1.9838916905037,-1.46547185166873
"Delay reconstruction",2.36790849195832,6.13633233628486,-0.0130509104360117,-0.186194935439549,1.9838916905037,-1.46547185166873
"Delay reconstruction",2.64282132159301,6.01948546900272,-0.254307948888613,-1.45295669735028,1.73967866190366,-1.08548464019977
"Delay reconstruction",2.92946241174473,5.81524113049695,0.0200962138659476,-0.758045755539118,1.89635527562334,-1.13340988784459
"Delay reconstruction",3.01227178854185,5.50612423960707,1.06109562101703,-1.92072243515561,1.63816590095443,-0.965749138347464
"Delay reconstruction",3.01227178854185,5.50612423960707,1.06109562101703,-1.92072243515561,1.63816590095443,-0.965749138347464
"Delay reconstruction",2.33815377281381,6.37626834748094,-2.3045666758843,-0.685495630523821,1.89160972646021,-0.846784491046805
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",3.49841546574508,5.28096412833593,0.189854787834943,-0.476850304406926,1.75714818782248,-1.28251799696614
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",4.34561243189374,4.48154518328319,1.77776301948473,-2.43456249360572,1.16299572367219,-0.329375281879885
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",3.65572955004995,5.09860229606039,1.14079791140715,-0.906312253877595,1.41309879922248,-0.647739495260076
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
"Delay reconstruction",2.84140505429149,5.86306772015009,0.343372495474451,-0.426488640854292,1.84875780269335,-1.18000989739907
"Delay reconstruction",4.29299897520793,4.73961235464053,1.00403032647758,-0.999410089757587,1.25868281054532,-0.756367915627519
