"methods","samples.logP","samples.logN0","samples.log_sigma_d","samples.log_sigma_p","samples.log_tau","samples.log_delta"
"Summary statistics",4.22233508791495,4.9901088154798,-0.861030903366456,-0.61279210737986,1.56901784211785,-0.900032778618958
"Summary statistics",4.22233508791495,4.9901088154798,-0.861030903366456,-0.61279210737986,1.56901784211785,-0.900032778618958
"Summary statistics",4.22233508791495,4.9901088154798,-0.861030903366456,-0.61279210737986,1.56901784211785,-0.900032778618958
"Summary statistics",4.43118811818264,5.09476276084434,0.0830377305106307,-0.733577561558587,1.20607417915692,-0.733422726921102
"Summary statistics",4.01858807227324,5.15021597983236,-1.07437954100348,-1.2294049892932,1.69100300675048,-0.873843048551031
"Summary statistics",4.01858807227324,5.15021597983236,-1.07437954100348,-1.2294049892932,1.69100300675048,-0.873843048551031
"Summary statistics",4.4804028843071,4.71562754411987,0.962936835844356,-1.27628326604849,1.18683339569755,-0.911955580749189
"Summary statistics",4.40048741216243,5.01749930611368,-0.0530170205325866,-1.87751572792426,1.0368141636281,-0.66795616027825
"Summary statistics",4.4804028843071,4.71562754411987,0.962936835844356,-1.27628326604849,1.18683339569755,-0.911955580749189
"Summary statistics",4.4804028843071,4.71562754411987,0.962936835844356,-1.27628326604849,1.18683339569755,-0.911955580749189
"Summary statistics",4.28631176500408,4.66159814035688,-0.118290592160214,-0.543747401461609,1.82686216930106,-1.16718577394446
"Summary statistics",2.99488959938627,5.65153526756913,0.194705494433606,-0.517006735720941,1.40654409746386,-0.929512509275843
"Summary statistics",3.89983251359574,5.13897745496752,0.380989777531586,-1.04036748843107,1.09540712227867,-0.983953969247302
"Summary statistics",3.99154549095174,5.11236423264251,0.799327488442121,-1.28863203020809,1.19005926371731,-0.920062490946873
"Summary statistics",3.99154549095174,5.11236423264251,0.799327488442121,-1.28863203020809,1.19005926371731,-0.920062490946873
"Summary statistics",2.78075952492525,5.8543467022278,0.340391395156895,-0.500592615352067,1.28318678115657,-1.38242421401236
"Summary statistics",2.78075952492525,5.8543467022278,0.340391395156895,-0.500592615352067,1.28318678115657,-1.38242421401236
"Summary statistics",2.78075952492525,5.8543467022278,0.340391395156895,-0.500592615352067,1.28318678115657,-1.38242421401236
"Summary statistics",3.44677549954296,5.79267968563713,-1.20617756450303,-1.52040427176393,1.41250691044968,-0.907440444981767
"Summary statistics",3.44677549954296,5.79267968563713,-1.20617756450303,-1.52040427176393,1.41250691044968,-0.907440444981767
"Summary statistics",3.44677549954296,5.79267968563713,-1.20617756450303,-1.52040427176393,1.41250691044968,-0.907440444981767
"Summary statistics",3.44677549954296,5.79267968563713,-1.20617756450303,-1.52040427176393,1.41250691044968,-0.907440444981767
"Summary statistics",2.80895378265694,5.81104520581348,1.05396303348318,-0.748519634380199,1.69088580618661,-1.07385199652707
"Summary statistics",3.37910609794421,5.63449240123583,0.337487152752981,-1.20861727343148,1.4708206360265,-0.737798321119695
"Summary statistics",3.71320894460238,5.2951155805663,-0.376072989586645,-0.982908112869721,1.61001407037144,-0.610466154847443
"Summary statistics",3.37910609794421,5.63449240123583,0.337487152752981,-1.20861727343148,1.4708206360265,-0.737798321119695
"Summary statistics",4.19685074448899,5.34494665288659,-0.0339307768161374,-1.66857537026121,0.963549408243308,-0.522541945078222
"Summary statistics",3.37910609794421,5.63449240123583,0.337487152752981,-1.20861727343148,1.4708206360265,-0.737798321119695
"Summary statistics",3.37910609794421,5.63449240123583,0.337487152752981,-1.20861727343148,1.4708206360265,-0.737798321119695
"Summary statistics",3.37910609794421,5.63449240123583,0.337487152752981,-1.20861727343148,1.4708206360265,-0.737798321119695
"Summary statistics",3.40816122767662,5.20672301834996,0.412766780850548,-0.655164027427232,1.62677078995742,-0.868354173339346
"Summary statistics",2.84372470304218,5.90550603887275,-0.575310381745347,-0.57946209636074,2.86848168188315,-0.792979510250772
"Summary statistics",2.84372470304218,5.90550603887275,-0.575310381745347,-0.57946209636074,2.86848168188315,-0.792979510250772
"Summary statistics",2.84372470304218,5.90550603887275,-0.575310381745347,-0.57946209636074,2.86848168188315,-0.792979510250772
"Summary statistics",4.22929586522855,5.25676071433659,0.731261242303564,-2.36620239558258,0.819417629725149,-0.659241536514009
"Summary statistics",4.49696354391011,4.84365538793308,-0.161343359748117,-1.63761944439062,1.23574287452908,-0.488214006067622
"Summary statistics",3.31687693908586,5.74969037735278,-0.517968374622698,-0.980378775479064,1.4517871193241,-0.81692602899774
"Summary statistics",3.23471676155057,5.89086721203523,0.0838109818621421,-1.83945028040898,1.14212230944317,-0.725621612695656
"Summary statistics",2.98762774914404,5.60882132662959,-0.343673871823239,-0.816704535743279,2.3134131585312,-0.931211829394708
"Summary statistics",3.20863608375838,5.57351737790849,-0.651125272840333,-0.609260057183539,2.02495001211363,-0.820479203707816
"Summary statistics",3.93661996302188,5.64063159503386,-0.917499338931735,-0.975243414588623,1.01652541326207,-1.06952099561867
"Summary statistics",3.55291559500208,5.59141884227032,0.529582939372845,-0.492012362495484,1.41986160504664,-1.39415898908921
"Summary statistics",3.55291559500208,5.59141884227032,0.529582939372845,-0.492012362495484,1.41986160504664,-1.39415898908921
"Summary statistics",4.38539369969291,4.33664616491596,0.99370515435314,-0.399819510964051,1.65250739834149,-1.37660181626454
"Summary statistics",4.69478685200323,4.45353566513219,0.710087165058068,-1.11575995877942,0.960529961500626,-1.51041195830198
"Summary statistics",3.45529101145236,5.61650757973872,-0.646122670291867,-0.730031216057114,1.63951346305323,-0.432008447682102
"Summary statistics",3.72126735256511,5.65805060043084,-1.01258012091215,-1.10940666103208,1.09870940975519,-0.458426787116924
"Summary statistics",2.96818711772558,6.0953845242524,-1.09315141265306,-1.05156430269726,1.3345094110768,-0.405768991543712
"Summary statistics",3.55250882151017,5.77632602505983,-1.46631141968481,-0.715710332754474,1.83788882144502,-0.128786214874642
"Summary statistics",3.62544277267332,5.69663593100396,-0.124793175468662,-2.06686879825345,1.2243940413524,-0.792024081354422
