"methods","samples.omega","samples.phi","samples.logsigma","samples.logA"
"Curve matching",0.0134026514984667,0.453575506915016,-0.902868405510395,0.630724808462116
"Curve matching",0.0134026514984667,0.453575506915016,-0.902868405510395,0.630724808462116
"Curve matching",0.0134026514984667,0.453575506915016,-0.902868405510395,0.630724808462116
"Curve matching",0.0123064909878961,0.762930047244606,-1.18728933694878,0.686575022583272
"Curve matching",0.0123064909878961,0.762930047244606,-1.18728933694878,0.686575022583272
"Curve matching",0.0123064909878961,0.762930047244606,-1.18728933694878,0.686575022583272
"Curve matching",0.0128358967198228,0.707990633602524,-2.02438976679693,0.567338914667724
"Curve matching",0.0134766011842545,0.469116008523201,-1.74847887351452,0.587455941679549
"Curve matching",0.0134766011842545,0.469116008523201,-1.74847887351452,0.587455941679549
"Curve matching",0.0132092285137162,0.446034443923123,-1.60141355992349,0.685994883854691
"Curve matching",0.0132092285137162,0.446034443923123,-1.60141355992349,0.685994883854691
"Curve matching",0.0132092285137162,0.446034443923123,-1.60141355992349,0.685994883854691
"Curve matching",0.0122382851031278,0.729457550927958,-1.31315149323934,0.729275905481515
"Curve matching",0.0122382851031278,0.729457550927958,-1.31315149323934,0.729275905481515
"Curve matching",0.0124957100520016,0.666049677084266,-1.1354393294169,0.734898079425613
"Curve matching",0.0128961670186714,0.646709943788577,-0.471887916012514,0.655511637328889
"Curve matching",0.0128961670186714,0.646709943788577,-0.471887916012514,0.655511637328889
"Curve matching",0.0128961670186714,0.646709943788577,-0.471887916012514,0.655511637328889
"Curve matching",0.0122104394535652,0.807349247412583,-1.12984356722306,0.664726374074991
"Curve matching",0.0122104394535652,0.807349247412583,-1.12984356722306,0.664726374074991
"Curve matching",0.0122104394535652,0.807349247412583,-1.12984356722306,0.664726374074991
"Curve matching",0.0122104394535652,0.807349247412583,-1.12984356722306,0.664726374074991
"Curve matching",0.0126492033791423,0.604386009115766,-1.09390655877019,0.65334052577235
"Curve matching",0.0134626320158497,0.534259745632996,-1.02497957836578,0.625540667794313
"Curve matching",0.0134626320158497,0.534259745632996,-1.02497957836578,0.625540667794313
"Curve matching",0.0134626320158497,0.534259745632996,-1.02497957836578,0.625540667794313
"Curve matching",0.0130125995909948,0.413000861335935,-1.19252100006633,0.699086772905238
"Curve matching",0.0128972746617215,0.400502035287989,-1.65967053285941,0.599304686617126
"Curve matching",0.0130125995909948,0.413000861335935,-1.19252100006633,0.699086772905238
"Curve matching",0.0136212298920594,0.377354768225416,-0.732881161863829,0.731155257254114
"Curve matching",0.0136212298920594,0.377354768225416,-0.732881161863829,0.731155257254114
"Curve matching",0.0136212298920594,0.377354768225416,-0.732881161863829,0.731155257254114
"Curve matching",0.0127401939538347,0.625085720686391,-1.07398936041882,0.816460350693713
"Curve matching",0.0131835294055029,0.452322538716256,-0.900808258026559,0.701808559413843
"Curve matching",0.0133219006003661,0.409933675278362,-1.08451073728916,0.625572482069334
"Curve matching",0.0130411751108208,0.426578972092427,-1.18597740705441,0.652612122292184
"Curve matching",0.0130411751108208,0.426578972092427,-1.18597740705441,0.652612122292184
"Curve matching",0.0130411751108208,0.426578972092427,-1.18597740705441,0.652612122292184
"Curve matching",0.0130411751108208,0.426578972092427,-1.18597740705441,0.652612122292184
"Curve matching",0.0128088870802509,0.503531630160063,-1.32039530656892,0.60856288331443
"Curve matching",0.0130411751108208,0.426578972092427,-1.18597740705441,0.652612122292184
"Curve matching",0.0130411751108208,0.426578972092427,-1.18597740705441,0.652612122292184
"Curve matching",0.0126213841795811,0.586710035035385,-1.05895414414457,0.689008544506237
"Curve matching",0.0130411751108208,0.426578972092427,-1.18597740705441,0.652612122292184
"Curve matching",0.0130633097379874,0.457763153512174,-1.15866915554812,0.643992554058351
"Curve matching",0.0130411751108208,0.426578972092427,-1.18597740705441,0.652612122292184
"Curve matching",0.0125797717560888,0.55246601071446,-1.28604224105079,0.705503448002284
"Curve matching",0.0125797717560888,0.55246601071446,-1.28604224105079,0.705503448002284
"Curve matching",0.0124967983946741,0.65406503340833,-2.02219948464273,0.846019337505592
"Curve matching",0.0125797717560888,0.55246601071446,-1.28604224105079,0.705503448002284
"Curve matching",0.0125797717560888,0.55246601071446,-1.28604224105079,0.705503448002284
"Curve matching",0.0123989661192767,0.530436151646202,-1.1218530207227,0.607250294717342
"Curve matching",0.0134394643212871,0.363749598667727,-1.10715196665395,0.648977546546373
"Curve matching",0.0134394643212871,0.363749598667727,-1.10715196665395,0.648977546546373
"Curve matching",0.0134394643212871,0.363749598667727,-1.10715196665395,0.648977546546373
"Curve matching",0.0133496461203146,0.379953438241137,-1.0783976840931,0.713332198694097
"Curve matching",0.0133496461203146,0.379953438241137,-1.0783976840931,0.713332198694097
"Curve matching",0.0133496461203146,0.379953438241137,-1.0783976840931,0.713332198694097
"Curve matching",0.0122164207127504,0.59987481368414,-1.53531947037246,0.612858656894541
"Curve matching",0.0118924729555034,0.741810776545146,-1.23383218705742,0.689974540221302
"Curve matching",0.0125390991195498,0.52606362764445,-0.848271977707791,0.681565259807018
"Curve matching",0.0126127199774078,0.532871604707724,-1.74039483382995,0.677104492596
"Curve matching",0.0123954195300616,0.844354417059258,-1.67493563971717,0.731732852539768
"Curve matching",0.0128547620182157,0.640850101791417,-1.30130833174487,0.656710097651375
"Curve matching",0.0125838828485669,0.529949021129563,-1.83921748524537,0.77709903937622
"Curve matching",0.0125838828485669,0.529949021129563,-1.83921748524537,0.77709903937622
"Curve matching",0.0122047793255826,0.799177755452946,-1.36611949487684,0.622393671583489
"Curve matching",0.0122047793255826,0.799177755452946,-1.36611949487684,0.622393671583489
"Curve matching",0.0122047793255826,0.799177755452946,-1.36611949487684,0.622393671583489
"Curve matching",0.012009370307104,0.829340899405615,-1.22960052751063,0.636962316277273
"Curve matching",0.012009370307104,0.829340899405615,-1.22960052751063,0.636962316277273
"Curve matching",0.012009370307104,0.829340899405615,-1.22960052751063,0.636962316277273
"Curve matching",0.0132053742277182,0.478487875425647,-1.41814592680414,0.570085954367646
"Curve matching",0.0127366839805955,0.535600174738685,-1.73154578307702,0.622761383768598
"Curve matching",0.012503679958057,0.652282026052397,-1.90664271002062,0.673185094031687
"Curve matching",0.0125716432843723,0.581849551957313,-1.75061129443596,0.704049480050955
"Curve matching",0.0129160821240924,0.456276490707293,-1.73853365815018,0.751918014813442
"Curve matching",0.0125716432843723,0.581849551957313,-1.75061129443596,0.704049480050955
"Curve matching",0.0131278371835503,0.570493455888384,-0.573448881972691,0.73641756774269
"Curve matching",0.0131278371835503,0.570493455888384,-0.573448881972691,0.73641756774269
"Curve matching",0.0131278371835503,0.570493455888384,-0.573448881972691,0.73641756774269
"Curve matching",0.0130168255793573,0.482137312852865,-1.08570802197014,0.680189108808832
"Curve matching",0.0131278371835503,0.570493455888384,-0.573448881972691,0.73641756774269
"Curve matching",0.0131278371835503,0.570493455888384,-0.573448881972691,0.73641756774269
"Curve matching",0.0129347501202817,0.398630758528214,-2.05305250937308,0.53759994037034
"Curve matching",0.012902056983889,0.486788038577752,-2.07919707032862,0.492185036495601
"Curve matching",0.012902056983889,0.486788038577752,-2.07919707032862,0.492185036495601
"Curve matching",0.0125028892349885,0.704401538229566,-0.676999997480652,0.61986694099601
"Curve matching",0.0122024618348301,0.821629610868289,-1.30008855137418,0.606490504451387
"Curve matching",0.0124045537954603,0.614976472629228,-0.746418636387566,0.527105559568261
"Curve matching",0.0123869375318456,0.533188696501738,-1.48161288500621,0.483688953425425
"Curve matching",0.0123869375318456,0.533188696501738,-1.48161288500621,0.483688953425425
"Curve matching",0.0123869375318456,0.533188696501738,-1.48161288500621,0.483688953425425
"Curve matching",0.0123869375318456,0.533188696501738,-1.48161288500621,0.483688953425425
"Curve matching",0.0123869375318456,0.533188696501738,-1.48161288500621,0.483688953425425
