"value","density","param","method"
0.0113365893082852,0.00507959738521072,"omega","True posterior"
0.0113435522445978,0.00847632728595723,"omega","True posterior"
0.0113505151809104,0.0137650238730534,"omega","True posterior"
0.011357478117223,0.0217749502521027,"omega","True posterior"
0.0113644410535356,0.0335887452053881,"omega","True posterior"
0.0113714039898482,0.0505768396290432,"omega","True posterior"
0.0113783669261608,0.0744231953560176,"omega","True posterior"
0.0113853298624734,0.10713864858544,"omega","True posterior"
0.011392292798786,0.151058618106441,"omega","True posterior"
0.0113992557350986,0.208822667524985,"omega","True posterior"
0.0114062186714112,0.283567566852924,"omega","True posterior"
0.0114131816077238,0.38043466361039,"omega","True posterior"
0.0114201445440364,0.501112207941891,"omega","True posterior"
0.011427107480349,0.648769132752601,"omega","True posterior"
0.0114340704166616,0.826381174046491,"omega","True posterior"
0.0114410333529741,1.03658276403809,"omega","True posterior"
0.0114479962892867,1.28151429089947,"omega","True posterior"
0.0114549592255993,1.56267550688023,"omega","True posterior"
0.0114619221619119,1.88079765694698,"omega","True posterior"
0.0114688850982245,2.23574661399623,"omega","True posterior"
0.0114758480345371,2.62646646544095,"omega","True posterior"
0.0114828109708497,3.05096742579854,"omega","True posterior"
0.0114897739071623,3.50748417369777,"omega","True posterior"
0.0114967368434749,3.99194697681904,"omega","True posterior"
0.0115036997797875,4.49765925048171,"omega","True posterior"
0.0115106627161001,5.0190040538868,"omega","True posterior"
0.0115176256524127,5.54958460758941,"omega","True posterior"
0.0115245885887253,6.08223285522439,"omega","True posterior"
0.0115315515250379,6.6090935465509,"omega","True posterior"
0.0115385144613505,7.12184714543959,"omega","True posterior"
0.011545477397663,7.61212497410408,"omega","True posterior"
0.0115524403339756,8.07214372211223,"omega","True posterior"
0.0115594032702882,8.49554556557397,"omega","True posterior"
0.0115663662066008,8.87837809398928,"omega","True posterior"
0.0115733291429134,9.21745471270726,"omega","True posterior"
0.011580292079226,9.5200089299584,"omega","True posterior"
0.0115872550155386,9.79715867733531,"omega","True posterior"
0.0115942179518512,10.0627404428376,"omega","True posterior"
0.0116011808881638,10.333230853954,"omega","True posterior"
0.0116081438244764,10.6260289011084,"omega","True posterior"
0.011615106760789,10.9575165130391,"omega","True posterior"
0.0116220696971016,11.3411887625385,"omega","True posterior"
0.0116290326334142,11.7861470330357,"omega","True posterior"
0.0116359955697268,12.2962025754046,"omega","True posterior"
0.0116429585060394,12.8697480732089,"omega","True posterior"
0.0116499214423519,13.500544458164,"omega","True posterior"
0.0116568843786645,14.182054020773,"omega","True posterior"
0.0116638473149771,14.8972204896436,"omega","True posterior"
0.0116708102512897,15.635670424916,"omega","True posterior"
0.0116777731876023,16.3889260688219,"omega","True posterior"
0.0116847361239149,17.1506941131771,"omega","True posterior"
0.0116916990602275,17.9165647105549,"omega","True posterior"
0.0116986619965401,18.6833297747456,"omega","True posterior"
0.0117056249328527,19.4482013607705,"omega","True posterior"
0.0117125878691653,20.2082206478914,"omega","True posterior"
0.0117195508054779,20.960097551887,"omega","True posterior"
0.0117265137417905,21.7006173868713,"omega","True posterior"
0.0117334766781031,22.4271859596348,"omega","True posterior"
0.0117404396144157,23.1404406443205,"omega","True posterior"
0.0117474025507283,23.8472217603004,"omega","True posterior"
0.0117543654870408,24.558371204125,"omega","True posterior"
0.0117613284233534,25.2893591111447,"omega","True posterior"
0.011768291359666,26.059125739529,"omega","True posterior"
0.0117752542959786,26.8882342407628,"omega","True posterior"
0.0117822172322912,27.7966144267285,"omega","True posterior"
0.0117891801686038,28.8012421668071,"omega","True posterior"
0.0117961431049164,29.9141063094381,"omega","True posterior"
0.011803106041229,31.1407676842774,"omega","True posterior"
0.0118100689775416,32.4797197561663,"omega","True posterior"
0.0118170319138542,33.9282668728094,"omega","True posterior"
0.0118239948501668,35.4664658619688,"omega","True posterior"
0.0118309577864794,37.0717220004728,"omega","True posterior"
0.011837920722792,38.724412939522,"omega","True posterior"
0.0118448836591046,40.4058832616384,"omega","True posterior"
0.0118518465954172,42.1001094931814,"omega","True posterior"
0.0118588095317298,43.7951091476893,"omega","True posterior"
0.0118657724680423,45.4841001682622,"omega","True posterior"
0.0118727354043549,47.1664173245505,"omega","True posterior"
0.0118796983406675,48.8481638319363,"omega","True posterior"
0.0118866612769801,50.5425296207148,"omega","True posterior"
0.0118936242132927,52.2696559428804,"omega","True posterior"
0.0119005871496053,54.0652962246335,"omega","True posterior"
0.0119075500859179,55.9589268913633,"omega","True posterior"
0.0119145130222305,57.9825145309938,"omega","True posterior"
0.0119214759585431,60.1657501107885,"omega","True posterior"
0.0119284388948557,62.5324867840345,"omega","True posterior"
0.0119354018311683,65.0981360214733,"omega","True posterior"
0.0119423647674809,67.8680311867003,"omega","True posterior"
0.0119493277037935,70.8370382655722,"omega","True posterior"
0.0119562906401061,73.9905104412971,"omega","True posterior"
0.0119632535764187,77.3064819921874,"omega","True posterior"
0.0119702165127312,80.75880595446,"omega","True posterior"
0.0119771794490438,84.3228746790533,"omega","True posterior"
0.0119841423853564,87.9773802233502,"omega","True posterior"
0.011991105321669,91.6993415311315,"omega","True posterior"
0.0119980682579816,95.4827549651666,"omega","True posterior"
0.0120050311942942,99.3300032276544,"omega","True posterior"
0.0120119941306068,103.250726035401,"omega","True posterior"
0.0120189570669194,107.259818132555,"omega","True posterior"
0.012025920003232,111.374821858616,"omega","True posterior"
0.0120328829395446,115.613043354533,"omega","True posterior"
0.0120398458758572,119.988774569863,"omega","True posterior"
0.0120468088121698,124.511037430078,"omega","True posterior"
0.0120537717484824,129.182268363583,"omega","True posterior"
0.012060734684795,134.005837665873,"omega","True posterior"
0.0120676976211076,138.969522322297,"omega","True posterior"
0.0120746605574201,144.056639301708,"omega","True posterior"
0.0120816234937327,149.26153488722,"omega","True posterior"
0.0120885864300453,154.586154777457,"omega","True posterior"
0.0120955493663579,160.041824764847,"omega","True posterior"
0.0121025123026705,165.648965769721,"omega","True posterior"
0.0121094752389831,171.434671217956,"omega","True posterior"
0.0121164381752957,177.428538726267,"omega","True posterior"
0.0121234011116083,183.6575504851,"omega","True posterior"
0.0121303640479209,190.141066607878,"omega","True posterior"
0.0121373269842335,196.887070271699,"omega","True posterior"
0.0121442899205461,203.911286280479,"omega","True posterior"
0.0121512528568587,211.174909845185,"omega","True posterior"
0.0121582157931713,218.649510706086,"omega","True posterior"
0.0121651787294839,226.311113829271,"omega","True posterior"
0.0121721416657965,234.140697976799,"omega","True posterior"
0.012179104602109,242.126826537953,"omega","True posterior"
0.0121860675384216,250.26601718455,"omega","True posterior"
0.0121930304747342,258.56094033238,"omega","True posterior"
0.0121999934110468,267.016971648694,"omega","True posterior"
0.0122069563473594,275.637922468155,"omega","True posterior"
0.012213919283672,284.421894853764,"omega","True posterior"
0.0122208822199846,293.360142924827,"omega","True posterior"
0.0122278451562972,302.436171743483,"omega","True posterior"
0.0122348080926098,311.602554492527,"omega","True posterior"
0.0122417710289224,320.818676050583,"omega","True posterior"
