"value","density","param","method"
0.00182850615691231,2.39486124872602e-05,"phi","True posterior"
0.0042169225489669,3.73872491228399e-05,"phi","True posterior"
0.00660533894102149,5.69061540121094e-05,"phi","True posterior"
0.00899375533307608,8.44920630540984e-05,"phi","True posterior"
0.0113821717251307,0.000122441199995412,"phi","True posterior"
0.0137705881171853,0.000173271367078926,"phi","True posterior"
0.0161590045092399,0.000239572111590731,"phi","True posterior"
0.0185474209012944,0.000323786972267194,"phi","True posterior"
0.020935837293349,0.000429813840503766,"phi","True posterior"
0.0233242536854036,0.000557374372668649,"phi","True posterior"
0.0257126700774582,0.000705359734803867,"phi","True posterior"
0.0281010864695128,0.000871499095617949,"phi","True posterior"
0.0304895028615674,0.00105173214075705,"phi","True posterior"
0.032877919253622,0.00124023447560178,"phi","True posterior"
0.0352663356456766,0.00142964092411233,"phi","True posterior"
0.0376547520377312,0.00161147081230563,"phi","True posterior"
0.0400431684297858,0.00177673503689989,"phi","True posterior"
0.0424315848218404,0.0019166798064215,"phi","True posterior"
0.0448200012138949,0.00202359812031508,"phi","True posterior"
0.0472084176059495,0.00208686808976202,"phi","True posterior"
0.0495968339980041,0.00210804483788165,"phi","True posterior"
0.0519852503900587,0.00208794893838904,"phi","True posterior"
0.0543736667821133,0.00203012883186025,"phi","True posterior"
0.0567620831741679,0.0019404365084735,"phi","True posterior"
0.0591504995662225,0.00182636556890367,"phi","True posterior"
0.0615389159582771,0.00169627351216973,"phi","True posterior"
0.0639273323503317,0.00155859080040997,"phi","True posterior"
0.0663157487423863,0.00142111756555462,"phi","True posterior"
0.0687041651344409,0.0012904967653868,"phi","True posterior"
0.0710925815264954,0.0011722959903917,"phi","True posterior"
0.07348099791855,0.00107176691270412,"phi","True posterior"
0.0758694143106046,0.000990183438673919,"phi","True posterior"
0.0782578307026592,0.000929714122758218,"phi","True posterior"
0.0806462470947138,0.000892988197294828,"phi","True posterior"
0.0830346634867684,0.000883725402280223,"phi","True posterior"
0.085423079878823,0.000907252175759718,"phi","True posterior"
0.0878114962708776,0.000970849337424131,"phi","True posterior"
0.0901999126629322,0.00108389241819123,"phi","True posterior"
0.0925883290549868,0.00125776152810461,"phi","True posterior"
0.0949767454470414,0.00150551249076904,"phi","True posterior"
0.097365161839096,0.00184612293065372,"phi","True posterior"
0.0997535782311505,0.00229873836674956,"phi","True posterior"
0.102141994623205,0.0028702148266563,"phi","True posterior"
0.10453041101526,0.00357082775487547,"phi","True posterior"
0.106918827407314,0.0044070427698007,"phi","True posterior"
0.109307243799369,0.00538038890551651,"phi","True posterior"
0.111695660191424,0.00648650806551498,"phi","True posterior"
0.114084076583478,0.00771448661318996,"phi","True posterior"
0.116472492975533,0.00904657538241646,"phi","True posterior"
0.118860909367587,0.010458395947949,"phi","True posterior"
0.121249325759642,0.0119197125590567,"phi","True posterior"
0.123637742151696,0.0133937690497379,"phi","True posterior"
0.126026158543751,0.0148368547826417,"phi","True posterior"
0.128414574935806,0.0162132857610353,"phi","True posterior"
0.13080299132786,0.0174928844127487,"phi","True posterior"
0.133191407719915,0.0186531505282998,"phi","True posterior"
0.135579824111969,0.0196814523436842,"phi","True posterior"
0.137968240504024,0.0205764759680453,"phi","True posterior"
