"methods","samples.theta1","samples.theta2"
"Delay reconstruction",0.661309116707963,0.125323471196657
"Delay reconstruction",0.65338125260707,0.227421385419475
"Delay reconstruction",0.459981023588759,0.234483237109574
"Delay reconstruction",0.588975425460338,0.139921765041017
"Delay reconstruction",0.588975425460338,0.139921765041017
"Delay reconstruction",0.359296625480517,0.393368821855274
"Delay reconstruction",0.316569387007064,0.267239024181827
"Delay reconstruction",0.359296625480517,0.393368821855274
"Delay reconstruction",0.580373195876423,0.207367310495268
"Delay reconstruction",0.257191804897027,0.305065840189698
"Delay reconstruction",0.318299015532637,0.437239473069213
"Delay reconstruction",0.639107417181081,0.121114875970134
"Delay reconstruction",0.738000760756736,0.158510077886587
"Delay reconstruction",0.809130274842383,0.0186249142383612
"Delay reconstruction",0.809130274842383,0.0186249142383612
"Delay reconstruction",0.809130274842383,0.0186249142383612
"Delay reconstruction",0.971975495988448,0.00627353856653226
"Delay reconstruction",0.971975495988448,0.00627353856653226
"Delay reconstruction",0.970522124413786,0.0272415515673201
"Delay reconstruction",0.712534973671277,0.240585538946272
"Delay reconstruction",0.75988369687045,0.164123870211655
"Delay reconstruction",0.367586055359903,0.267259230801494
"Delay reconstruction",0.620073543901651,0.171107073621589
"Delay reconstruction",0.708545704884399,0.146268481384527
"Delay reconstruction",0.509298550541352,0.216884121192904
"Delay reconstruction",0.397021248392412,0.340508625908066
"Delay reconstruction",0.620073543901651,0.171107073621589
"Delay reconstruction",0.580373858317607,0.156535027900302
"Delay reconstruction",0.620073543901651,0.171107073621589
"Delay reconstruction",0.846043645592311,0.241827122003184
"Delay reconstruction",0.895637272573042,0.139649558159581
"Delay reconstruction",0.571184648422881,0.257581111174343
"Delay reconstruction",0.674841393616138,0.212248432374728
"Delay reconstruction",0.732423489579841,0.133607099371091
"Delay reconstruction",0.7869267349722,0.101176276221279
"Delay reconstruction",0.836491732384105,0.146082913779117
"Delay reconstruction",0.744806071932835,0.150562278466115
"Delay reconstruction",0.54932837851558,0.0933625226411829
"Delay reconstruction",0.874577246627302,0.0275378425441843
"Delay reconstruction",0.874577246627302,0.0275378425441843
"Delay reconstruction",0.447908235676109,0.19948732920172
"Delay reconstruction",0.626784364121812,0.159174551233927
"Delay reconstruction",0.626784364121812,0.159174551233927
