"value","density","param","method"
-2,0,"logsigma","True posterior"
-1.99198396793587,0,"logsigma","True posterior"
-1.98396793587174,0,"logsigma","True posterior"
-1.97595190380762,0,"logsigma","True posterior"
-1.96793587174349,0,"logsigma","True posterior"
-1.95991983967936,0,"logsigma","True posterior"
-1.95190380761523,0,"logsigma","True posterior"
-1.9438877755511,0,"logsigma","True posterior"
-1.93587174348697,0,"logsigma","True posterior"
-1.92785571142285,0,"logsigma","True posterior"
-1.91983967935872,0,"logsigma","True posterior"
-1.91182364729459,0,"logsigma","True posterior"
-1.90380761523046,0,"logsigma","True posterior"
-1.89579158316633,0,"logsigma","True posterior"
-1.8877755511022,0,"logsigma","True posterior"
-1.87975951903808,0,"logsigma","True posterior"
-1.87174348697395,0,"logsigma","True posterior"
-1.86372745490982,0,"logsigma","True posterior"
-1.85571142284569,0,"logsigma","True posterior"
-1.84769539078156,0,"logsigma","True posterior"
-1.83967935871743,0,"logsigma","True posterior"
-1.83166332665331,0,"logsigma","True posterior"
-1.82364729458918,0,"logsigma","True posterior"
-1.81563126252505,0,"logsigma","True posterior"
-1.80761523046092,0,"logsigma","True posterior"
-1.79959919839679,0,"logsigma","True posterior"
-1.79158316633267,0,"logsigma","True posterior"
-1.78356713426854,0,"logsigma","True posterior"
-1.77555110220441,0,"logsigma","True posterior"
-1.76753507014028,0,"logsigma","True posterior"
-1.75951903807615,0,"logsigma","True posterior"
-1.75150300601202,0,"logsigma","True posterior"
-1.7434869739479,0,"logsigma","True posterior"
-1.73547094188377,0,"logsigma","True posterior"
-1.72745490981964,0,"logsigma","True posterior"
-1.71943887775551,0,"logsigma","True posterior"
-1.71142284569138,0,"logsigma","True posterior"
-1.70340681362725,0,"logsigma","True posterior"
-1.69539078156313,0,"logsigma","True posterior"
-1.687374749499,0,"logsigma","True posterior"
-1.67935871743487,0,"logsigma","True posterior"
-1.67134268537074,0,"logsigma","True posterior"
-1.66332665330661,0,"logsigma","True posterior"
-1.65531062124249,0,"logsigma","True posterior"
-1.64729458917836,0,"logsigma","True posterior"
-1.63927855711423,0,"logsigma","True posterior"
-1.6312625250501,0,"logsigma","True posterior"
-1.62324649298597,0,"logsigma","True posterior"
-1.61523046092184,0,"logsigma","True posterior"
-1.60721442885772,0,"logsigma","True posterior"
-1.59919839679359,0,"logsigma","True posterior"
-1.59118236472946,0,"logsigma","True posterior"
-1.58316633266533,0,"logsigma","True posterior"
-1.5751503006012,0,"logsigma","True posterior"
-1.56713426853707,0,"logsigma","True posterior"
-1.55911823647295,0,"logsigma","True posterior"
-1.55110220440882,0,"logsigma","True posterior"
-1.54308617234469,0,"logsigma","True posterior"
-1.53507014028056,0,"logsigma","True posterior"
-1.52705410821643,0,"logsigma","True posterior"
-1.5190380761523,0,"logsigma","True posterior"
-1.51102204408818,0,"logsigma","True posterior"
-1.50300601202405,0,"logsigma","True posterior"
-1.49498997995992,0,"logsigma","True posterior"
-1.48697394789579,0,"logsigma","True posterior"
-1.47895791583166,0,"logsigma","True posterior"
