"methods","samples.theta1","samples.theta2"
"Delay reconstructiondelay",0.333264917883659,-0.254725679606313
"Delay reconstructiondelay",0.405249757948764,0.612688627402353
"Delay reconstructiondelay",0.333264917883659,-0.254725679606313
"Delay reconstructiondelay",0.354659217533333,0.716032209113111
"Delay reconstructiondelay",0.388910771955343,0.74655322626116
"Delay reconstructiondelay",0.44697406254171,0.985363002680661
"Delay reconstructiondelay",0.345650952767808,0.58304564216498
"Delay reconstructiondelay",0.316731774550785,0.33465511412471
"Delay reconstructiondelay",0.452237258417883,0.887728581947867
"Delay reconstructiondelay",0.340062352828681,0.733392650261521
"Delay reconstructiondelay",0.39939871137647,0.907329198407514
"Delay reconstructiondelay",0.459784849745252,0.740582749462964
"Delay reconstructiondelay",0.340062352828681,0.733392650261521
"Delay reconstructiondelay",0.292964541438953,0.760591377022967
"Delay reconstructiondelay",0.403890018331399,0.707381809843954
"Delay reconstructiondelay",0.340062352828681,0.733392650261521
"Delay reconstructiondelay",0.442543553258187,0.813095055214719
"Delay reconstructiondelay",0.327359850162846,0.428812424592492
"Delay reconstructiondelay",0.340062352828681,0.733392650261521
"Delay reconstructiondelay",0.361967321933355,0.675980271161385
"Delay reconstructiondelay",0.238273727790907,0.637932601766653
"Delay reconstructiondelay",0.326047170957784,0.210180710434936
"Delay reconstructiondelay",0.336506531580516,0.687794730248274
"Delay reconstructiondelay",0.431453717299592,0.759106366158622
"Delay reconstructiondelay",0.340062352828681,0.733392650261521
"Delay reconstructiondelay",0.340062352828681,0.733392650261521
"Delay reconstructiondelay",0.301696359943458,0.578383667690322
"Delay reconstructiondelay",0.438909240333701,0.945929100455864
"Delay reconstructiondelay",0.340062352828681,0.733392650261521
"Delay reconstructiondelay",0.261431159150976,0.509331151074427
"Delay reconstructiondelay",0.340062352828681,0.733392650261521
"Delay reconstructiondelay",0.616801919439782,1.06145243139344
"Delay reconstructiondelay",0.46492766691311,0.687550197112601
"Delay reconstructiondelay",0.36502115038377,0.369899861282844
"Delay reconstructiondelay",0.304434139401867,-0.342167626900416
"Delay reconstructiondelay",0.247001197095343,-0.543228332988061
"Delay reconstructiondelay",0.362220847513527,0.91763100028038
"Delay reconstructiondelay",0.362220847513527,0.91763100028038
"Delay reconstructiondelay",0.314123950548945,0.679556173432621
"Delay reconstructiondelay",0.230912515734534,0.719021922243601
"Delay reconstructiondelay",0.367962792404713,0.863108892057788
"Delay reconstructiondelay",0.362220847513527,0.91763100028038
"Delay reconstructiondelay",0.367928142901039,0.784866911097415
"Delay reconstructiondelay",0.362220847513527,0.91763100028038
"Delay reconstructiondelay",0.243316786640365,0.204314730289212
"Delay reconstructiondelay",0.273982132749885,0.0253399895566446
"Delay reconstructiondelay",0.503607577753513,0.738644174434064
"Delay reconstructiondelay",0.601409021165365,1.03334303887164
"Delay reconstructiondelay",0.462520749446359,0.57577007867863
"Delay reconstructiondelay",0.395772866058391,0.750473135665284
"Delay reconstructiondelay",0.307343321267601,-0.156833348290156
"Delay reconstructiondelay",0.562078754535855,0.923923611607915
"Delay reconstructiondelay",0.435153670094021,0.575461856645223
"Delay reconstructiondelay",0.386709478218555,0.444927394650875
"Delay reconstructiondelay",0.458321831155565,0.806520253569551
"Delay reconstructiondelay",0.573068883037195,0.961605966091156
"Delay reconstructiondelay",0.71955774969551,1.05592254203179
"Delay reconstructiondelay",0.573068883037195,0.961605966091156
"Delay reconstructiondelay",0.473466653827475,0.590998177353101
"Delay reconstructiondelay",0.643694602026195,0.989791972575124
"Delay reconstructiondelay",0.537235479395059,0.870502849245628
"Delay reconstructiondelay",0.643694602026195,0.989791972575124
"Delay reconstructiondelay",0.492268524600284,1.02829486164739
"Delay reconstructiondelay",0.33132644876421,0.510666954292452
"Delay reconstructiondelay",0.267423102419285,-1.60736703687594
"Delay reconstructiondelay",0.366225070168949,-0.476415292696352
"Delay reconstructiondelay",0.267423102419285,-1.60736703687594
"Delay reconstructiondelay",0.326619525092844,-0.586498333346487
"Delay reconstructiondelay",0.295933124449453,-0.917671310616139
"Delay reconstructiondelay",0.508085516600385,0.905005655090944
"Delay reconstructiondelay",0.610819699479248,1.02179392375592
"Delay reconstructiondelay",0.330670546995096,0.168412413789675
"Delay reconstructiondelay",0.593671542820029,1.14081939897628
"Delay reconstructiondelay",0.593671542820029,1.14081939897628
"Delay reconstructiondelay",0.593671542820029,1.14081939897628
"Delay reconstructiondelay",0.593671542820029,1.14081939897628
"Delay reconstructiondelay",0.593671542820029,1.14081939897628
"Delay reconstructiondelay",0.763840356841683,1.18534156307578
"Delay reconstructiondelay",0.594643338424208,1.03171691065473
"Delay reconstructiondelay",0.763840356841683,1.18534156307578
"Delay reconstructiondelay",0.443893231468252,0.883286899483918
"Delay reconstructiondelay",0.296216523661431,-0.0673822890273417
"Delay reconstructiondelay",0.425552671467179,0.840553231275775
"Delay reconstructiondelay",0.395841496065369,0.88431902036243
"Delay reconstructiondelay",0.395841496065369,0.88431902036243
"Delay reconstructiondelay",0.565993072535686,1.03383942482455
