"value","density","param","method"
-2,0.00371126504397709,"theta2","True posterior"
-1.99198396793587,0.00372153384409295,"theta2","True posterior"
-1.98396793587174,0.00373191674818881,"theta2","True posterior"
-1.97595190380762,0.00374241528746433,"theta2","True posterior"
-1.96793587174349,0.00375303101825937,"theta2","True posterior"
-1.95991983967936,0.00376376552254779,"theta2","True posterior"
-1.95190380761523,0.00377462040844233,"theta2","True posterior"
-1.9438877755511,0.00378559731071122,"theta2","True posterior"
-1.93587174348697,0.0037966978913065,"theta2","True posterior"
-1.92785571142285,0.00380792383990445,"theta2","True posterior"
-1.91983967935872,0.00381927687445852,"theta2","True posterior"
-1.91182364729459,0.003830758741765,"theta2","True posterior"
-1.90380761523046,0.00384237121804175,"theta2","True posterior"
-1.89579158316633,0.00385411610952045,"theta2","True posterior"
-1.8877755511022,0.00386599525305251,"theta2","True posterior"
-1.87975951903808,0.00387801051672931,"theta2","True posterior"
-1.87174348697395,0.0038901638005168,"theta2","True posterior"
-1.86372745490982,0.00390245703690513,"theta2","True posterior"
-1.85571142284569,0.00391489219157343,"theta2","True posterior"
-1.84769539078156,0.00392747126407055,"theta2","True posterior"
-1.83967935871743,0.00394019628851176,"theta2","True posterior"
-1.83166332665331,0.00395306933429195,"theta2","True posterior"
-1.82364729458918,0.00396609250681602,"theta2","True posterior"
-1.81563126252505,0.00397926794824662,"theta2","True posterior"
-1.80761523046092,0.00399259783826994,"theta2","True posterior"
-1.79959919839679,0.00400608439487966,"theta2","True posterior"
-1.79158316633267,0.00401972987518013,"theta2","True posterior"
-1.78356713426854,0.00403353657620887,"theta2","True posterior"
-1.77555110220441,0.00404750683577899,"theta2","True posterior"
-1.76753507014028,0.00406164303334211,"theta2","True posterior"
-1.75951903807615,0.00407594759087251,"theta2","True posterior"
-1.75150300601202,0.00409042297377278,"theta2","True posterior"
-1.7434869739479,0.00410507169180176,"theta2","True posterior"
-1.73547094188377,0.00411989630002543,"theta2","True posterior"
-1.72745490981964,0.00413489939979117,"theta2","True posterior"
-1.71943887775551,0.00415008363972639,"theta2","True posterior"
-1.71142284569138,0.0041654517167618,"theta2","True posterior"
-1.70340681362725,0.00418100637718024,"theta2","True posterior"
-1.69539078156313,0.0041967504176919,"theta2","True posterior"
-1.687374749499,0.0042126866865364,"theta2","True posterior"
-1.67935871743487,0.00422881808461266,"theta2","True posterior"
-1.67134268537074,0.00424514756663736,"theta2","True posterior"
-1.66332665330661,0.00426167814233265,"theta2","True posterior"
-1.65531062124249,0.00427841287764417,"theta2","True posterior"
-1.64729458917836,0.00429535489599005,"theta2","True posterior"
-1.63927855711423,0.00431250737954191,"theta2","True posterior"
-1.6312625250501,0.0043298735705386,"theta2","True posterior"
-1.62324649298597,0.00434745677263403,"theta2","True posterior"
-1.61523046092184,0.00436526035227944,"theta2","True posterior"
-1.60721442885772,0.00438328774014173,"theta2","True posterior"
-1.59919839679359,0.00440154243255859,"theta2","True posterior"
-1.59118236472946,0.00442002799303151,"theta2","True posterior"
-1.58316633266533,0.00443874805375785,"theta2","True posterior"
-1.5751503006012,0.00445770631720308,"theta2","True posterior"
-1.56713426853707,0.00447690655771447,"theta2","True posterior"
-1.55911823647295,0.00449635262317724,"theta2","True posterior"
-1.55110220440882,0.0045160484367148,"theta2","True posterior"
